Nom Dalle,Pixels Blancs (Arbres),Pourcentage Verdure (%),Surface Arborée (m2)
18440_51850_5cm_CC46,13163476,13.1635,32908.69
18430_51850_5cm_CC46,28785684,28.7857,71964.21
18435_51850_5cm_CC46,17952327,17.9523,44880.82
18445_51850_5cm_CC46,15394209,15.3942,38485.52
18450_51850_5cm_CC46,17513489,17.5135,43783.72
18460_51850_5cm_CC46,16683636,16.6836,41709.09
18470_51850_5cm_CC46,11904845,11.9048,29762.11
18475_51850_5cm_CC46,16039767,16.0398,40099.42
18465_51850_5cm_CC46,15029979,15.0300,37574.95
18480_51850_5cm_CC46,52565666,52.5657,131414.17
18395_51845_5cm_CC46,33024224,33.0242,82560.56
18370_51845_5cm_CC46,22142727,22.1427,55356.82
18340_51845_5cm_CC46,17065296,17.0653,42663.24
18345_51845_5cm_CC46,22757042,22.7570,56892.61
18485_51850_5cm_CC46,42610005,42.6100,106525.01
18350_51845_5cm_CC46,10173423,10.1734,25433.56
18360_51845_5cm_CC46,30466600,30.4666,76166.50
18355_51845_5cm_CC46,18491964,18.4920,46229.91
18365_51845_5cm_CC46,41081828,41.0818,102704.57
18400_51845_5cm_CC46,55801433,55.8014,139503.58
18405_51845_5cm_CC46,58239987,58.2400,145599.97
18410_51845_5cm_CC46,56579019,56.5790,141447.55
18425_51845_5cm_CC46,17123135,17.1231,42807.84
18415_51845_5cm_CC46,44123577,44.1236,110308.94
18430_51845_5cm_CC46,27390834,27.3908,68477.09
18420_51845_5cm_CC46,19273677,19.2737,48184.19
18445_51845_5cm_CC46,24819448,24.8194,62048.62
18435_51845_5cm_CC46,13350485,13.3505,33376.21
18450_51845_5cm_CC46,20588095,20.5881,51470.24
18440_51845_5cm_CC46,23660891,23.6609,59152.23
18455_51845_5cm_CC46,20329116,20.3291,50822.79
18465_51845_5cm_CC46,15204392,15.2044,38010.98
18375_51840_5cm_CC46,3557851,3.5579,8894.63
18470_51845_5cm_CC46,41748203,41.7482,104370.51
18460_51845_5cm_CC46,38942485,38.9425,97356.21
18475_51845_5cm_CC46,5671111,5.6711,14177.78
18395_51840_5cm_CC46,11505188,11.5052,28762.97
18480_51845_5cm_CC46,2836665,2.8367,7091.66
18485_51845_5cm_CC46,5463500,5.4635,13658.75
18490_51845_5cm_CC46,9993596,9.9936,24983.99
18340_51840_5cm_CC46,24338776,24.3388,60846.94
18345_51840_5cm_CC46,16328119,16.3281,40820.30
18360_51840_5cm_CC46,38216146,38.2161,95540.37
18370_51840_5cm_CC46,35032832,35.0328,87582.08
18365_51840_5cm_CC46,45907757,45.9078,114769.39
18355_51840_5cm_CC46,18606716,18.6067,46516.79
18350_51840_5cm_CC46,21219259,21.2193,53048.15
18405_51840_5cm_CC46,50456411,50.4564,126141.03
18400_51840_5cm_CC46,57219246,57.2192,143048.11
18420_51840_5cm_CC46,18216461,18.2165,45541.15
18410_51840_5cm_CC46,40508637,40.5086,101271.59
18425_51840_5cm_CC46,20752417,20.7524,51881.04
18415_51840_5cm_CC46,31226133,31.2261,78065.33
18430_51840_5cm_CC46,21559000,21.5590,53897.50
18435_51840_5cm_CC46,20180113,20.1801,50450.28
18440_51840_5cm_CC46,19941706,19.9417,49854.26
18450_51840_5cm_CC46,23592253,23.5923,58980.63
18445_51840_5cm_CC46,24286311,24.2863,60715.78
18455_51840_5cm_CC46,18323208,18.3232,45808.02
18465_51840_5cm_CC46,9716177,9.7162,24290.44
18460_51840_5cm_CC46,14522499,14.5225,36306.25
18470_51840_5cm_CC46,54081703,54.0817,135204.26
18395_51835_5cm_CC46,3630083,3.6301,9075.21
18380_51835_5cm_CC46,3332863,3.3329,8332.16
18485_51840_5cm_CC46,16394808,16.3948,40987.02
18480_51840_5cm_CC46,24081044,24.0810,60202.61
18475_51840_5cm_CC46,18130167,18.1302,45325.42
18340_51835_5cm_CC46,11202132,11.2021,28005.33
18490_51840_5cm_CC46,9219562,9.2196,23048.90
18345_51835_5cm_CC46,19361321,19.3613,48403.30
18350_51835_5cm_CC46,21978149,21.9781,54945.37
18360_51835_5cm_CC46,28164691,28.1647,70411.73
18355_51835_5cm_CC46,23866685,23.8667,59666.71
18370_51835_5cm_CC46,47776871,47.7769,119442.18
18365_51835_5cm_CC46,41025028,41.0250,102562.57
18375_51835_5cm_CC46,27832582,27.8326,69581.46
18400_51835_5cm_CC46,47849656,47.8497,119624.14
18410_51835_5cm_CC46,57204034,57.2040,143010.08
18405_51835_5cm_CC46,58000459,58.0005,145001.15
18415_51835_5cm_CC46,28820599,28.8206,72051.50
18435_51835_5cm_CC46,18436651,18.4367,46091.63
18420_51835_5cm_CC46,20679480,20.6795,51698.70
18430_51835_5cm_CC46,22465607,22.4656,56164.02
18425_51835_5cm_CC46,24741975,24.7420,61854.94
18440_51835_5cm_CC46,18614711,18.6147,46536.78
18450_51835_5cm_CC46,27544819,27.5448,68862.05
18445_51835_5cm_CC46,13576845,13.5768,33942.11
18460_51835_5cm_CC46,29267796,29.2678,73169.49
